"Status","Name","Duration in ms","Description"
"passed","ReqResTests_1.loginTest","3226",""
"passed","ReqResTests_2.loginTestAndUseMatcher","1667",""
"passed","ReqResTests_4.patchUserTest","1067",""
"passed","ReqResTests_4.putUserTest","1084",""
"passed","ReqResTests_4.deleteUserTest","1050",""
"passed","ReqResTests_3.getSingleUserTest","853",""
"passed","ReqResTests_6.getAllUsersTest","904",""
"passed","ReqResTests_9.getSingleUserTest","1531",""
"passed","ReqResTests_8.registerUserTest","1151",""
"passed","ReqResTests_7.createUserTest","1183",""
"passed","ReqResTests_5.getAllUserResponseTest","840",""
